Order ID,Order Date,Year,Month,Region,City,Category,Product,Salesperson,Customer Segment,Units Sold,Unit Price,Discount %,Cost Ratio
1001,2024-01-01,2024,Jan,North,Lucknow,Apparel,T-Shirt,Sneha Kulkarni,Consumer,12,768.2,0.2,0.728435913540969
1002,2024-01-01,2024,Jan,North,Lucknow,Home Appliances,Mixer Grinder,Aarav Shah,Consumer,4,3406.43,0.15,0.5553071939367727
1003,2024-01-02,2024,Jan,East,Kolkata,Home Appliances,Vacuum Cleaner,Vikram Rao,Consumer,3,9688.23,0.05,0.6055742683343284
1004,2024-01-02,2024,Jan,South,Chennai,Electronics,Smartphone,Karan Malhotra,Consumer,6,18625.49,0.15,0.6029041734444026
1005,2024-01-02,2024,Jan,North,Lucknow,Home Appliances,Vacuum Cleaner,Priya Nair,Corporate,2,9549.44,0.2,0.6737039504728493
1006,2024-01-03,2024,Jan,South,Hyderabad,Electronics,Smartphone,Sneha Kulkarni,Corporate,2,18639.57,0,0.6260252450078333
1007,2024-01-03,2024,Jan,East,Patna,Apparel,T-Shirt,Ananya Iyer,Corporate,4,813.61,0.2,0.7373309175424988
1008,2024-01-03,2024,Jan,North,Lucknow,Furniture,Bookshelf,Sneha Kulkarni,Consumer,8,4445.75,0.2,0.6876323916866627
1009,2024-01-03,2024,Jan,South,Hyderabad,Apparel,T-Shirt,Sneha Kulkarni,Consumer,6,792.09,0,0.5921965687172653
1010,2024-01-04,2024,Jan,South,Hyderabad,Home Appliances,Air Purifier,Divya Reddy,Consumer,5,11567.56,0.2,0.6622736268326301
1011,2024-01-04,2024,Jan,West,Ahmedabad,Home Appliances,Vacuum Cleaner,Karan Malhotra,Corporate,4,9972.46,0,0.6519052587352929
1012,2024-01-04,2024,Jan,North,Delhi,Electronics,Laptop,Rohan Mehta,Small Business,7,55530.25,0.1,0.6263238573013074
1013,2024-01-04,2024,Jan,East,Patna,Apparel,Shoes,Aarav Shah,Small Business,12,3076.66,0.15,0.7001755599183219
1014,2024-01-05,2024,Jan,North,Chandigarh,Home Appliances,Mixer Grinder,Divya Reddy,Consumer,12,3631.55,0.05,0.7443776197740228
1015,2024-01-05,2024,Jan,South,Hyderabad,Electronics,Headphones,Arjun Kapoor,Small Business,4,2413.21,0,0.6578758060239251
1016,2024-01-05,2024,Jan,North,Lucknow,Apparel,Jacket,Aarav Shah,Consumer,6,2283.32,0.05,0.5978904620676118
1017,2024-01-05,2024,Jan,South,Hyderabad,Electronics,Smartphone,Divya Reddy,Consumer,9,18478.5,0,0.6819501645494734
1018,2024-01-06,2024,Jan,West,Ahmedabad,Home Appliances,Mixer Grinder,Arjun Kapoor,Small Business,12,3395.4,0.05,0.6297984599994859
1019,2024-01-06,2024,Jan,West,Pune,Home Appliances,Mixer Grinder,Sneha Kulkarni,Consumer,2,3443.33,0.15,0.660784304484896
1020,2024-01-06,2024,Jan,South,Bengaluru,Electronics,Smartphone,Sneha Kulkarni,Consumer,1,18647.34,0,0.6528312239617179
1021,2024-01-07,2024,Jan,East,Kolkata,Furniture,Bookshelf,Neha Joshi,Small Business,8,4384.35,0.1,0.7114993995533287
1022,2024-01-07,2024,Jan,South,Bengaluru,Electronics,Smartwatch,Ananya Iyer,Corporate,7,5980.21,0.2,0.5608342374464341
1023,2024-01-07,2024,Jan,North,Delhi,Home Appliances,Vacuum Cleaner,Ananya Iyer,Consumer,4,9207.01,0.15,0.6397227095666264
1024,2024-01-07,2024,Jan,East,Kolkata,Apparel,Jacket,Sneha Kulkarni,Consumer,8,2267.76,0.15,0.5695817456403202
1025,2024-01-08,2024,Jan,North,Delhi,Furniture,Study Table,Divya Reddy,Corporate,4,9328.19,0,0.5829274242803054
1026,2024-01-08,2024,Jan,North,Chandigarh,Apparel,Jacket,Vikram Rao,Corporate,12,2300.61,0.15,0.6823742623901491
1027,2024-01-09,2024,Jan,South,Bengaluru,Apparel,T-Shirt,Aarav Shah,Small Business,12,803.38,0.2,0.6127209619539459
1028,2024-01-09,2024,Jan,North,Lucknow,Home Appliances,Vacuum Cleaner,Arjun Kapoor,Consumer,1,9937.74,0,0.7202685090688243
1029,2024-01-09,2024,Jan,North,Lucknow,Electronics,Laptop,Karan Malhotra,Consumer,10,53604.18,0.15,0.557948332457813
1030,2024-01-09,2024,Jan,North,Chandigarh,Apparel,Jacket,Sneha Kulkarni,Small Business,12,2159.12,0.05,0.629157169358251
1031,2024-01-09,2024,Jan,West,Pune,Apparel,T-Shirt,Aarav Shah,Corporate,10,839.88,0,0.5646521442199266
1032,2024-01-10,2024,Jan,West,Mumbai,Apparel,T-Shirt,Sneha Kulkarni,Corporate,5,772.62,0.15,0.6907079850174742
1033,2024-01-10,2024,Jan,North,Lucknow,Apparel,Shoes,Priya Nair,Consumer,5,3076.94,0,0.6984833367961998
1034,2024-01-10,2024,Jan,South,Chennai,Apparel,Shoes,Sneha Kulkarni,Small Business,6,3105.15,0.2,0.7205825630783795
1035,2024-01-11,2024,Jan,West,Mumbai,Electronics,Smartwatch,Vikram Rao,Consumer,1,5900.13,0,0.6774226754602759
1036,2024-01-11,2024,Jan,West,Mumbai,Home Appliances,Vacuum Cleaner,Karan Malhotra,Small Business,1,9131.28,0.2,0.7307857143119787
1037,2024-01-11,2024,Jan,North,Chandigarh,Furniture,Study Table,Rohan Mehta,Consumer,5,8878.19,0,0.729784927305295
1038,2024-01-11,2024,Jan,South,Hyderabad,Furniture,Bookshelf,Priya Nair,Corporate,9,4672.86,0.1,0.7447674045274578
1039,2024-01-11,2024,Jan,South,Bengaluru,Furniture,Office Chair,Karan Malhotra,Consumer,3,7165.6,0.05,0.7064772992295263
1040,2024-01-12,2024,Jan,South,Chennai,Furniture,Bookshelf,Priya Nair,Corporate,1,4661.37,0,0.5899145660051504
